source_type,s1_edge_preservation,preserved_subroutes,max_cluster_size,nn_pairs_preserved,backbone_preserved,s2_dist,elite_reconstruction
Random,0.5278,10,9,0.3636,0.5143,798.9434,1
Random,0.5000,3,7,0.2727,0.4857,860.6637,0
Random,0.5000,6,4,0.3182,0.5143,890.6277,0
Random,0.6111,9,7,0.3182,0.6000,874.0743,0
Random,0.5833,6,6,0.3636,0.5714,857.7470,0
Random,0.5000,9,6,0.3182,0.5143,837.2040,0
Random,0.6111,10,8,0.4091,0.6286,878.5741,0
Random,0.5000,5,7,0.1818,0.5143,850.3772,0
Random,0.5000,7,6,0.3636,0.4857,902.4475,0
Random,0.5833,9,8,0.3182,0.5714,797.4513,1
Random,0.6111,6,7,0.2727,0.6286,811.0690,0
Random,0.5833,6,8,0.2273,0.5714,810.5735,0
Random,0.5278,6,9,0.2727,0.5429,869.5148,0
Random,0.6389,7,7,0.4091,0.6286,850.6631,0
Random,0.5000,9,7,0.3182,0.4857,882.5659,0
Random,0.6944,10,8,0.2727,0.7143,856.7536,0
Random,0.5000,6,8,0.3636,0.5143,810.5735,0
Random,0.5556,7,8,0.3182,0.5429,952.8116,0
Random,0.5556,6,6,0.3636,0.5429,805.5019,1
Random,0.5833,9,8,0.3182,0.6000,797.8718,1
Random,0.5000,5,6,0.2727,0.4857,801.8739,1
Random,0.5000,7,8,0.2727,0.4857,811.3003,0
Random,0.5556,7,8,0.2273,0.5429,822.5776,0
Random,0.6111,9,7,0.3182,0.6286,797.8718,1
Random,0.5556,10,9,0.2727,0.5429,861.1022,0
Random,0.5556,6,6,0.3182,0.5429,825.4293,0
Random,0.5833,6,6,0.3182,0.5714,831.9206,0
Random,0.5000,6,6,0.3636,0.5143,931.2201,0
Random,0.5000,2,6,0.2273,0.4857,879.7595,0
Random,0.5278,7,6,0.3182,0.5429,870.5429,0
Random,0.5833,5,9,0.3636,0.6000,882.6388,0
Random,0.5000,8,6,0.3182,0.4857,872.2207,0
Random,0.5556,8,9,0.2727,0.5429,906.7753,0
Random,0.5000,5,8,0.1818,0.5143,840.1194,0
Random,0.5000,7,7,0.3182,0.4857,801.8739,1
Random,0.5556,8,7,0.2727,0.5429,798.9434,1
Random,0.6111,10,9,0.3636,0.6286,885.6211,0
Random,0.5556,5,8,0.2273,0.5429,825.8377,0
Random,0.5000,7,7,0.3636,0.4857,840.9450,0
Random,0.5000,3,7,0.3182,0.4857,865.2383,0
Random,0.5278,6,7,0.3182,0.5429,810.5735,0
Random,0.5000,6,7,0.2273,0.4857,922.0509,0
Random,0.5000,5,7,0.3636,0.4857,884.0296,0
Random,0.5000,7,8,0.3636,0.5143,837.2387,0
Random,0.6389,8,8,0.5455,0.6571,797.4513,1
Random,0.5000,4,7,0.2727,0.4857,864.5160,0
Random,0.5833,7,7,0.2727,0.6000,810.5735,0
Random,0.6667,13,8,0.4091,0.6857,821.4624,0
Random,0.5278,7,7,0.3182,0.5143,851.8484,0
Random,0.5833,10,7,0.4091,0.6000,838.4979,0
Random,0.5556,8,6,0.3636,0.5714,803.3111,1
Random,0.5000,5,7,0.1818,0.5143,922.9217,0
Random,0.6111,7,6,0.3636,0.6000,873.7002,0
Random,0.6667,9,9,0.3636,0.6571,831.3398,0
Random,0.5556,4,7,0.2727,0.5429,797.4513,1
Random,0.5278,4,8,0.2727,0.5143,815.2039,0
Random,0.6111,9,8,0.3636,0.6000,797.4513,1
Random,0.7222,12,7,0.4545,0.7143,829.2061,0
Random,0.5000,6,8,0.2273,0.5143,868.0588,0
Random,0.5000,5,6,0.2727,0.4857,811.3205,0
Random,0.6389,9,7,0.2727,0.6286,821.7963,0
Random,0.5556,7,6,0.3182,0.5429,838.2210,0
Random,0.5000,6,7,0.2727,0.5143,817.9923,0
Random,0.5000,7,8,0.2727,0.4857,896.3914,0
Random,0.5556,9,9,0.3636,0.5429,836.8092,0
Random,0.5556,8,6,0.2727,0.5429,867.9254,0
Random,0.5000,4,6,0.1818,0.5143,863.9562,0
Random,0.6667,9,7,0.3182,0.6857,815.1484,0
Random,0.5556,5,6,0.3182,0.5429,821.6916,0
Random,0.5556,5,7,0.4091,0.5714,797.8718,1
Random,0.5000,7,6,0.3636,0.4857,835.0131,0
Random,0.5833,6,6,0.2273,0.6000,797.4513,1
Random,0.6389,10,8,0.5000,0.6571,797.8718,1
Random,0.5000,4,8,0.1818,0.4857,890.0163,0
Random,0.5000,5,7,0.2727,0.5143,810.5735,0
Random,0.5833,5,7,0.2727,0.5714,863.4177,0
Random,0.5556,7,6,0.3182,0.5714,857.7017,0
Random,0.5556,10,8,0.3636,0.5714,858.3566,0
Random,0.6389,12,7,0.5000,0.6571,861.2964,0
Random,0.6111,8,8,0.3182,0.6286,861.7558,0
Random,0.5000,6,7,0.2727,0.5143,801.8739,1
Random,0.6389,8,7,0.4091,0.6571,840.1075,0
Random,0.5556,6,8,0.2727,0.5429,797.8718,1
Random,0.5278,7,9,0.2273,0.5143,812.0974,0
Random,0.5000,6,7,0.3182,0.4857,845.0657,0
Random,0.5556,9,9,0.3636,0.5429,827.3525,0
Random,0.6389,9,8,0.4091,0.6286,816.2453,0
Random,0.6111,9,9,0.4545,0.6000,852.7832,0
Random,0.5000,4,7,0.3182,0.5143,869.4227,0
Random,0.5278,7,8,0.3182,0.5429,884.3652,0
Random,0.5278,7,8,0.2727,0.5429,820.5115,0
Random,0.5278,8,8,0.3182,0.5143,833.1168,0
Random,0.5278,6,5,0.2727,0.5143,853.4556,0
Random,0.5000,7,8,0.2727,0.4857,816.4972,0
Random,0.5000,8,8,0.3182,0.4857,868.1303,0
Random,0.5000,10,8,0.2727,0.5143,864.2109,0
Random,0.5278,6,7,0.3182,0.5143,862.8430,0
Random,0.5278,5,7,0.3182,0.5429,812.2031,0
Random,0.5556,9,8,0.3182,0.5714,854.6147,0
Random,0.5000,7,7,0.3636,0.4857,866.9468,0
Random,0.5278,8,6,0.4091,0.5143,801.8739,1
Random,0.5833,11,7,0.3636,0.5714,821.7963,0
Random,0.6111,9,8,0.3182,0.6000,850.9900,0
Random,0.5556,8,8,0.3182,0.5429,838.7305,0
Random,0.6667,9,8,0.4091,0.6571,797.4513,1
Random,0.5000,8,7,0.3182,0.5143,880.8006,0
Random,0.5556,8,7,0.3182,0.5429,882.9100,0
Random,0.5000,7,5,0.2727,0.5143,842.3421,0
Random,0.6944,12,9,0.4091,0.6857,810.5735,0
Random,0.5556,8,8,0.2727,0.5714,904.4996,0
Random,0.5000,5,8,0.2273,0.5143,844.9767,0
Random,0.6667,12,9,0.3182,0.6571,852.1839,0
Random,0.6389,8,8,0.4545,0.6571,834.9123,0
Random,0.5833,9,9,0.2273,0.5714,864.0731,0
Random,0.6389,8,8,0.3182,0.6286,820.5115,0
Random,0.5000,7,9,0.1818,0.5143,859.1938,0
Random,0.5000,3,5,0.3636,0.5143,877.1413,0
Random,0.6389,7,8,0.3182,0.6286,869.9325,0
Random,0.5556,5,7,0.4545,0.5714,838.7305,0
Random,0.5000,6,7,0.3182,0.4857,874.5749,0
Random,0.5000,9,8,0.2727,0.4857,842.2993,0
Random,0.5278,10,8,0.3636,0.5429,810.5735,0
Random,0.5833,5,8,0.3636,0.6000,835.6781,0
Random,0.6111,7,9,0.2273,0.6000,827.6188,0
Random,0.5000,5,8,0.2727,0.4857,834.3310,0
Random,0.5556,4,8,0.2273,0.5429,801.8739,1
Random,0.5000,5,6,0.2273,0.4857,860.7518,0
Random,0.5556,8,7,0.2727,0.5429,846.8455,0
Random,0.5000,5,5,0.2273,0.4857,855.1787,0
Random,0.6667,11,9,0.5000,0.6857,828.7001,0
Random,0.6667,9,8,0.3636,0.6571,819.5007,0
Random,0.6111,10,8,0.4091,0.6000,847.1439,0
Random,0.5556,8,7,0.2727,0.5714,848.9618,0
Random,0.5556,6,8,0.2273,0.5429,812.2031,0
Random,0.5556,6,7,0.1818,0.5429,797.8718,1
Random,0.5556,7,7,0.1818,0.5714,844.5714,0
Random,0.6389,11,7,0.4091,0.6286,810.5735,0
Random,0.5556,8,9,0.2273,0.5429,827.3525,0
Random,0.5278,5,7,0.3182,0.5429,798.9434,1
Random,0.6944,10,7,0.3636,0.6857,810.5735,0
Random,0.5000,5,7,0.3636,0.5143,853.5571,0
Random,0.5833,9,8,0.4545,0.6000,797.4513,1
Random,0.6111,7,7,0.4091,0.6000,821.7963,0
Random,0.7778,12,8,0.4545,0.7714,797.4513,1
Random,0.6111,11,8,0.4545,0.6286,797.4513,1
Random,0.5556,7,8,0.2727,0.5714,820.4407,0
Random,0.5556,7,6,0.3636,0.5429,852.1602,0
Random,0.6389,11,9,0.3182,0.6286,856.2045,0
Random,0.5278,6,6,0.4091,0.5143,821.7963,0
Random,0.5833,3,7,0.3182,0.5714,820.5758,0
Random,0.5833,6,7,0.3182,0.5714,845.1385,0
Random,0.6389,9,7,0.4091,0.6286,811.3205,0
Random,0.5556,6,8,0.3636,0.5429,820.5736,0
Random,0.5278,4,7,0.3636,0.5143,896.3099,0
Random,0.5556,9,8,0.3182,0.5429,844.5194,0
Random,0.5833,9,7,0.4545,0.6000,822.5776,0
Random,0.5000,4,7,0.1818,0.4857,874.6883,0
Random,0.5278,8,8,0.4091,0.5143,915.7381,0
Random,0.5556,8,7,0.3182,0.5714,837.3199,0
Random,0.5278,6,8,0.2727,0.5429,797.4513,1
Random,0.5833,7,6,0.3182,0.6000,860.5896,0
Random,0.5000,6,8,0.2727,0.4857,832.6336,0
Random,0.5278,7,6,0.3636,0.5143,877.1192,0
Random,0.6389,6,7,0.3636,0.6286,841.0370,0
Random,0.5278,5,8,0.1818,0.5143,797.4513,1
Random,0.5833,8,8,0.3636,0.5714,825.4293,0
Random,0.5278,9,7,0.3182,0.5143,848.2217,0
Random,0.5000,7,8,0.2727,0.5143,842.3169,0
Random,0.5000,7,7,0.1818,0.4857,803.3936,1
Random,0.5556,6,7,0.4545,0.5714,810.5735,0
Random,0.5556,6,8,0.2273,0.5429,907.2615,0
Random,0.5000,7,6,0.4091,0.4857,835.0131,0
Random,0.5000,7,7,0.2727,0.4857,851.1324,0
Random,0.5556,8,8,0.2273,0.5429,816.2453,0
Random,0.5000,5,6,0.2273,0.4857,851.9597,0
Random,0.5556,9,9,0.3636,0.5429,810.5735,0
Random,0.5000,5,7,0.2273,0.4857,830.0429,0
Random,0.7778,13,8,0.5000,0.7714,797.8718,1
Random,0.5000,6,8,0.2727,0.4857,893.9139,0
Random,0.5278,8,7,0.3636,0.5429,837.5388,0
Random,0.5000,7,8,0.3636,0.5143,857.2728,0
Random,0.5833,9,8,0.3636,0.6000,879.9996,0
Random,0.5000,6,7,0.3636,0.5143,829.1403,0
Random,0.5556,8,9,0.2727,0.5429,871.3935,0
Random,0.5000,5,6,0.3182,0.4857,804.0648,1
Random,0.5278,6,7,0.2273,0.5143,797.8718,1
Random,0.5000,4,7,0.2273,0.4857,885.6484,0
Random,0.5556,7,9,0.2727,0.5429,827.5683,0
Random,0.6389,10,8,0.3636,0.6571,816.2453,0
Random,0.5556,9,8,0.2273,0.5429,907.0949,0
Random,0.5278,6,7,0.2727,0.5143,826.0486,0
Random,0.5000,5,6,0.3182,0.4857,810.5735,0
Random,0.6389,12,9,0.3182,0.6286,810.6053,0
Random,0.5278,5,6,0.4545,0.5429,816.4972,0
Random,0.5278,7,5,0.4545,0.5429,801.8739,1
Random,0.5556,6,7,0.2273,0.5429,819.2922,0
Random,0.5000,7,6,0.3182,0.5143,852.8743,0
Random,0.5833,7,9,0.3182,0.6000,857.7209,0
Random,0.5556,5,9,0.2727,0.5429,797.4513,1
Random,0.5556,6,8,0.2727,0.5429,812.7828,0
Random,0.5833,7,8,0.3182,0.5714,862.6427,0
Random,0.6111,10,8,0.3636,0.6000,820.4296,0
Random,0.5556,5,6,0.2273,0.5429,872.8475,0
Random,0.5833,5,7,0.2273,0.5714,797.4513,1
Random,0.5000,8,7,0.4545,0.4857,817.5966,0
Random,0.5278,6,7,0.2727,0.5143,817.9923,0
Random,0.5000,8,7,0.2273,0.5143,945.9042,0
Random,0.5000,7,6,0.2273,0.5143,827.3525,0
Random,0.6944,11,9,0.3636,0.6857,797.4513,1
Random,0.5000,8,8,0.2273,0.4857,859.4601,0
Random,0.5278,4,8,0.2727,0.5143,841.4203,0
Random,0.5556,6,8,0.2727,0.5429,818.4128,0
Random,0.7778,15,9,0.4545,0.7714,863.8885,0
Random,0.5278,6,7,0.4091,0.5143,1000.8947,0
Random,0.5000,7,7,0.2273,0.4857,899.3255,0
Random,0.6111,5,8,0.3636,0.6286,868.8020,0
Random,0.5000,6,8,0.3636,0.5143,859.7836,0
Random,0.5000,5,7,0.3182,0.5143,865.0124,0
Random,0.5556,6,7,0.3182,0.5714,821.7963,0
Random,0.5278,6,6,0.2273,0.5143,797.8718,1
Random,0.5000,5,7,0.2727,0.4857,864.7980,0
Random,0.5556,9,7,0.3182,0.5429,835.4307,0
Random,0.5278,4,7,0.4091,0.5429,859.3376,0
Random,0.6111,9,8,0.4545,0.6286,797.4513,1
Random,0.5000,6,8,0.2727,0.5143,881.3332,0
Random,0.5278,4,8,0.2273,0.5429,860.5335,0
Random,0.5556,6,6,0.2273,0.5429,848.4150,0
Random,0.6944,9,7,0.3636,0.6857,797.4513,1
Random,0.5278,4,6,0.3182,0.5143,870.7842,0
Random,0.5000,5,5,0.2727,0.4857,895.3123,0
Random,0.5278,4,6,0.3182,0.5143,951.7999,0
Random,0.5000,6,7,0.1818,0.4857,929.4975,0
Random,0.7500,9,6,0.4091,0.7429,847.7754,0
Random,0.5278,6,9,0.1818,0.5429,797.8718,1
Random,0.6111,8,9,0.3182,0.6000,851.4918,0
Random,0.5000,5,5,0.2727,0.5143,906.4265,0
Random,0.5000,7,7,0.3182,0.5143,870.0506,0
Random,0.5833,8,8,0.3182,0.5714,810.5735,0
Random,0.5278,6,6,0.2273,0.5143,875.6450,0
Random,0.5833,6,7,0.1818,0.5714,810.5735,0
Random,0.5556,7,6,0.3636,0.5714,797.8718,1
Random,0.5000,8,6,0.3182,0.4857,883.7615,0
Random,0.6944,13,7,0.3636,0.6857,881.9368,0
Random,0.5833,7,7,0.3182,0.5714,797.8718,1
Random,0.6667,10,8,0.3636,0.6571,797.4513,1
Random,0.5000,8,6,0.2727,0.4857,879.7718,0
Random,0.5833,9,9,0.2727,0.5714,817.1960,0
Random,0.5833,9,8,0.3636,0.5714,921.2248,0
Random,0.6389,9,6,0.3636,0.6571,797.4513,1
Random,0.5000,5,7,0.2273,0.4857,821.4331,0
Random,0.5833,7,9,0.4091,0.5714,843.0420,0
Random,0.5278,5,9,0.2727,0.5143,823.7503,0
Random,0.5278,8,8,0.2727,0.5143,941.2180,0
Random,0.6667,7,8,0.4091,0.6571,797.4513,1
Random,0.5000,7,8,0.3636,0.5143,816.6658,0
Random,0.6111,8,7,0.4091,0.6286,827.3525,0
Random,0.5000,3,9,0.1818,0.5143,909.2067,0
Random,0.6667,9,7,0.3636,0.6571,826.0486,0
Random,0.6667,10,8,0.3636,0.6571,866.2163,0
Random,0.5833,5,6,0.3636,0.5714,850.5016,0
Random,0.5000,7,6,0.3636,0.5143,889.0469,0
Random,0.5000,6,5,0.2727,0.5143,803.6943,1
Random,0.5278,3,8,0.2273,0.5143,846.8109,0
Random,0.5833,11,7,0.4091,0.5714,830.0429,0
Random,0.5833,8,8,0.1818,0.5714,797.4513,1
Random,0.5278,7,7,0.3182,0.5429,902.4998,0
Random,0.5278,3,7,0.3636,0.5143,837.3408,0
Random,0.5278,9,8,0.4091,0.5429,856.6204,0
Random,0.5556,9,8,0.3182,0.5429,950.5010,0
Random,0.6111,8,7,0.3182,0.6000,802.6007,1
Random,0.5000,6,6,0.2727,0.5143,854.6772,0
Random,0.5833,7,5,0.3636,0.6000,868.0141,0
Random,0.5000,7,7,0.3636,0.5143,845.6964,0
Random,0.5000,6,7,0.2273,0.5143,810.6053,0
Random,0.5000,6,7,0.1364,0.4857,836.0532,0
Random,0.6944,13,9,0.3636,0.6857,864.5801,0
Random,0.5556,5,6,0.2273,0.5429,862.6841,0
Random,0.5278,8,6,0.2727,0.5143,837.2387,0
Random,0.5000,9,7,0.3636,0.5143,862.1667,0
Random,0.5833,4,8,0.2727,0.5714,959.2823,0
Random,0.5833,10,9,0.3182,0.5714,835.0131,0
Random,0.7222,12,8,0.4091,0.7143,822.9282,0
Random,0.5833,7,8,0.3182,0.5714,803.7866,1
Random,0.5278,7,8,0.2727,0.5143,862.1026,0
Random,0.5278,6,7,0.2273,0.5143,868.2540,0
Random,0.5000,6,8,0.3182,0.5143,820.5115,0
Random,0.6667,11,8,0.3182,0.6571,869.1184,0
Random,0.5278,7,7,0.2727,0.5429,870.9834,0
Random,0.6944,11,8,0.4545,0.7143,850.6157,0
Random,0.5278,6,7,0.1818,0.5429,866.4172,0
Random,0.5833,7,8,0.2727,0.5714,967.7482,0
Random,0.5000,6,6,0.3636,0.5143,828.7001,0
Random,0.5556,5,7,0.2273,0.5429,797.8718,1
Random,0.5000,6,6,0.3182,0.4857,896.5626,0
Random,0.5000,8,7,0.3636,0.5143,847.1517,0
Random,0.5556,7,7,0.2273,0.5429,843.6119,0
Random,0.5278,6,6,0.3182,0.5429,863.5242,0
Random,0.6389,9,7,0.4545,0.6571,797.4513,1
Random,0.5000,5,8,0.2727,0.4857,844.5390,0
Random,0.6111,8,8,0.3182,0.6000,810.5735,0
Random,0.5833,10,7,0.3636,0.5714,797.4513,1
Random,0.5556,9,8,0.3636,0.5714,804.7916,1
Random,0.5556,9,9,0.3636,0.5429,892.0673,0
Random,0.5278,7,7,0.3182,0.5429,812.6236,0
Random,0.5000,6,7,0.3182,0.4857,855.2296,0
Random,0.5556,7,7,0.3182,0.5429,831.8437,0
Random,0.6111,10,8,0.4545,0.6286,818.2542,0
Random,0.5278,6,7,0.4091,0.5429,861.1325,0
Random,0.5278,7,6,0.2727,0.5429,828.7001,0
Random,0.5000,6,7,0.2273,0.5143,905.9833,0
Random,0.5556,7,8,0.2727,0.5429,936.4421,0
Random,0.5278,6,6,0.4091,0.5429,855.1927,0
Random,0.5556,9,8,0.3182,0.5429,867.3518,0
Random,0.5000,8,6,0.3182,0.5143,865.3456,0
Random,0.6389,6,8,0.4545,0.6286,879.3343,0
Random,0.5278,7,7,0.3636,0.5429,797.4513,1
Random,0.5278,5,7,0.2273,0.5143,957.4663,0
Random,0.5278,8,8,0.3182,0.5429,848.4150,0
Random,0.5833,10,9,0.3182,0.5714,924.3213,0
Random,0.5278,5,6,0.2727,0.5429,846.8109,0
Random,0.5556,8,7,0.3636,0.5429,843.0768,0
Random,0.5556,5,8,0.2273,0.5714,864.2864,0
Random,0.5278,8,6,0.3182,0.5143,828.5087,0
Random,0.5833,9,9,0.3636,0.5714,877.4703,0
Random,0.5278,7,6,0.2727,0.5143,884.8553,0
Random,0.5278,5,8,0.3636,0.5143,797.8718,1
Random,0.5556,9,7,0.4091,0.5429,883.3420,0
Random,0.6111,7,7,0.4545,0.6000,801.8739,1
Random,0.5278,5,7,0.3182,0.5143,863.0656,0
Random,0.5556,8,8,0.3182,0.5429,917.5307,0
Random,0.7500,14,9,0.4091,0.7429,842.5190,0
Random,0.5000,4,7,0.2273,0.4857,830.9622,0
Random,0.5278,7,8,0.2273,0.5429,828.7001,0
Random,0.5833,8,7,0.2727,0.5714,797.8718,1
Random,0.5278,6,9,0.3636,0.5429,861.7242,0
Random,0.5000,3,6,0.2727,0.4857,862.2192,0
Random,0.5556,11,8,0.3182,0.5714,909.7049,0
Random,0.6389,10,8,0.4545,0.6571,804.1204,1
Random,0.5556,5,6,0.3182,0.5429,866.3124,0
Random,0.5278,6,8,0.3636,0.5429,835.0131,0
Random,0.6111,11,9,0.3182,0.6000,804.0379,1
Random,0.5000,6,6,0.2273,0.4857,899.2043,0
Random,0.6944,11,7,0.4545,0.7143,821.8258,0
Random,0.6667,9,7,0.4091,0.6857,900.1366,0
Random,0.5000,6,7,0.3182,0.5143,797.4513,1
Random,0.5278,4,8,0.2273,0.5143,851.3646,0
Random,0.6389,10,8,0.5000,0.6571,903.6239,0
Random,0.5278,5,7,0.1364,0.5143,863.0656,0
Random,0.5556,7,7,0.3636,0.5429,803.3111,1
Random,0.6111,10,9,0.3182,0.6000,797.4513,1
Random,0.5000,5,6,0.3182,0.5143,821.7963,0
Random,0.5833,8,6,0.3182,0.5714,852.4724,0
Random,0.6667,9,7,0.2727,0.6571,827.3525,0
Random,0.5278,10,9,0.2727,0.5143,829.1403,0
Random,0.5556,8,7,0.3182,0.5429,899.1909,0
Random,0.5556,9,8,0.4091,0.5714,797.4513,1
Random,0.5278,6,6,0.2273,0.5143,818.6157,0
Random,0.7222,11,8,0.3182,0.7143,797.4513,1
Random,0.5833,6,7,0.2727,0.5714,816.2453,0
Random,0.6111,5,6,0.3636,0.6000,801.8739,1
Random,0.6111,8,7,0.4091,0.6000,852.7612,0
Random,0.5278,7,6,0.3636,0.5143,810.5735,0
Random,0.7222,10,8,0.3636,0.7143,797.4513,1
Random,0.5278,6,8,0.4545,0.5429,822.9282,0
Random,0.5000,6,7,0.3182,0.4857,803.3111,1
Random,0.5556,8,5,0.3636,0.5429,820.7058,0
Random,0.6944,11,9,0.4091,0.6857,835.6886,0
Random,0.5556,10,6,0.4545,0.5714,969.4149,0
Random,0.5833,9,7,0.3636,0.6000,797.4513,1
Random,0.5000,5,7,0.2727,0.5143,994.0785,0
Random,0.5278,6,7,0.2727,0.5143,874.0969,0
Random,0.6944,12,8,0.3636,0.6857,797.4513,1
Random,0.5278,5,7,0.2273,0.5143,856.9404,0
Random,0.5000,6,8,0.2273,0.4857,797.4513,1
Random,0.5000,8,6,0.4091,0.5143,821.8258,0
Random,0.6111,6,6,0.2273,0.6000,849.0681,0
Random,0.5556,7,6,0.2727,0.5429,894.9512,0
Random,0.5278,7,8,0.2727,0.5143,842.3169,0
Random,0.5000,6,7,0.2727,0.5143,823.7503,0
Random,0.5278,9,7,0.3636,0.5429,820.1531,0
Random,0.5556,10,7,0.3182,0.5429,836.0613,0
Random,0.5278,5,8,0.2727,0.5429,821.7963,0
Random,0.5556,6,7,0.3182,0.5429,847.7369,0
Random,0.5278,8,7,0.4545,0.5429,810.5735,0
Random,0.5000,6,7,0.3636,0.4857,869.6871,0
Random,0.5556,5,6,0.2727,0.5429,874.4796,0
Random,0.5556,7,7,0.2727,0.5714,931.2490,0
Random,0.5556,5,7,0.3182,0.5429,810.5735,0
Random,0.5833,8,7,0.4091,0.5714,797.8718,1
Random,0.6667,11,8,0.3636,0.6571,797.4513,1
Random,0.5833,6,7,0.2273,0.5714,829.9318,0
Random,0.5833,6,6,0.3636,0.5714,862.4813,0
Random,0.5000,4,6,0.2273,0.4857,797.8718,1
Random,0.5833,8,8,0.4091,0.6000,885.2196,0
Random,0.5000,7,8,0.3636,0.5143,954.6159,0
Random,0.5000,5,8,0.3182,0.4857,812.4862,0
Random,0.5000,7,8,0.4091,0.4857,812.9033,0
Random,0.5556,7,7,0.3182,0.5429,847.9419,0
Random,0.6944,12,9,0.3636,0.6857,892.4319,0
Random,0.5000,6,8,0.2727,0.5143,871.6528,0
Random,0.6667,11,8,0.4091,0.6857,797.4513,1
Random,0.5278,7,7,0.2727,0.5143,909.8449,0
Random,0.5833,8,7,0.3182,0.5714,942.9609,0
Random,0.5556,7,8,0.4091,0.5714,859.4221,0
Random,0.6111,7,8,0.3182,0.6000,878.7867,0
Random,0.5833,9,6,0.4091,0.5714,920.0032,0
Random,0.5833,2,6,0.2727,0.6000,820.8613,0
Random,0.5556,6,7,0.4091,0.5714,797.4513,1
Random,0.5000,5,7,0.2727,0.5143,822.7046,0
Random,0.5000,6,7,0.2727,0.5143,886.3082,0
