solver,basin_hash,distance,edges,triplets
Random,5945486809504421702,847.9419,1-28|19-28|9-19|9-12|5-12|5-29|25-29|1-25|1-21|6-21|6-26|11-26|11-16|10-16|10-23|23-30|15-30|1-15|1-2|2-22|22-32|20-32|18-20|14-18|1-14|1-31|17-31|8-17|3-8|3-4|4-24|7-24|7-27|1-27|1-13|1-13,1-28-19|9-19-28|12-9-19|5-12-9|12-5-29|5-29-25|1-25-29|1-21-6|21-6-26|6-26-11|16-11-26|10-16-11|16-10-23|10-23-30|15-30-23|1-15-30|1-2-22|2-22-32|20-32-22|18-20-32|14-18-20|1-14-18|1-31-17|8-17-31|3-8-17|4-3-8|3-4-24|4-24-7|24-7-27|1-27-7|1-13-1
Random,11824326250485796480,803.3936,1-15|15-29|12-29|5-12|5-24|3-24|3-4|4-7|1-7|1-21|6-21|6-26|11-26|11-30|16-30|16-23|10-23|9-10|9-19|1-19|1-31|17-31|8-17|2-8|2-13|1-13|1-14|14-18|18-20|20-32|22-32|22-27|1-27|1-25|25-28|1-28,1-15-29|12-29-15|5-12-29|12-5-24|3-24-5|4-3-24|3-4-7|1-7-4|1-21-6|21-6-26|6-26-11|26-11-30|11-30-16|23-16-30|10-23-16|9-10-23|10-9-19|1-19-9|1-31-17|8-17-31|2-8-17|8-2-13|1-13-2|1-14-18|14-18-20|18-20-32|20-32-22|27-22-32|1-27-22|1-25-28|1-28-25
Random,6524965636449191191,835.0131,1-21|6-21|6-26|11-26|11-16|16-30|28-30|1-28|1-7|7-24|24-29|5-29|5-12|9-12|9-19|10-19|10-23|15-23|1-15|1-31|13-31|2-13|2-8|3-8|3-4|1-4|1-17|17-22|22-32|20-32|18-20|14-18|14-27|1-27|1-25|1-25,1-21-6|21-6-26|6-26-11|16-11-26|11-16-30|16-30-28|1-28-30|1-7-24|7-24-29|5-29-24|12-5-29|5-12-9|12-9-19|9-19-10|19-10-23|10-23-15|1-15-23|1-31-13|2-13-31|8-2-13|2-8-3|4-3-8|1-4-3|1-17-22|17-22-32|20-32-22|18-20-32|14-18-20|18-14-27|1-27-14|1-25-1
Random,17105368193432357733,862.6030,1-21|6-21|6-26|11-26|11-16|10-16|10-23|23-30|1-30|1-22|22-32|20-32|18-20|14-18|8-14|8-27|1-27|1-13|2-13|2-29|5-29|5-12|9-12|9-19|15-19|1-15|1-7|4-7|3-4|3-24|24-25|25-28|1-28|1-17|17-31|1-31,1-21-6|21-6-26|6-26-11|16-11-26|10-16-11|16-10-23|10-23-30|1-30-23|1-22-32|20-32-22|18-20-32|14-18-20|8-14-18|14-8-27|1-27-8|1-13-2|13-2-29|2-29-5|12-5-29|5-12-9|12-9-19|9-19-15|1-15-19|1-7-4|3-4-7|4-3-24|3-24-25|24-25-28|1-28-25|1-17-31|1-31-17
Random,7890066185115132965,833.2029,1-2|2-22|22-32|20-32|18-20|14-18|1-14|1-15|7-15|7-24|4-24|3-4|3-8|8-17|17-27|27-31|1-31|1-28|28-30|16-30|11-16|11-26|6-26|6-21|1-21|1-25|19-25|9-19|9-29|5-29|5-12|10-12|10-23|1-23|1-13|1-13,1-2-22|2-22-32|20-32-22|18-20-32|14-18-20|1-14-18|1-15-7|15-7-24|4-24-7|3-4-24|4-3-8|3-8-17|8-17-27|17-27-31|1-31-27|1-28-30|16-30-28|11-16-30|16-11-26|6-26-11|21-6-26|1-21-6|1-25-19|9-19-25|19-9-29|5-29-9|12-5-29|5-12-10|12-10-23|1-23-10|1-13-1
Random,15168872374936398918,835.7890,1-30|23-30|10-23|10-16|11-16|11-26|6-26|6-21|1-21|1-13|2-13|2-14|8-14|8-17|1-17|1-22|22-32|20-32|18-20|3-18|3-4|1-4|1-31|27-31|7-27|7-24|24-29|5-29|5-12|9-12|9-19|15-19|1-15|1-25|25-28|1-28,1-30-23|10-23-30|16-10-23|10-16-11|16-11-26|6-26-11|21-6-26|1-21-6|1-13-2|13-2-14|2-14-8|14-8-17|1-17-8|1-22-32|20-32-22|18-20-32|3-18-20|4-3-18|1-4-3|1-31-27|7-27-31|24-7-27|7-24-29|5-29-24|12-5-29|5-12-9|12-9-19|9-19-15|1-15-19|1-25-28|1-28-25
Random,6458949530289354168,885.5584,1-31|17-31|13-17|2-13|2-8|8-27|1-27|1-14|3-14|3-4|4-24|24-29|7-29|1-7|1-25|23-25|10-23|10-12|5-12|5-9|9-19|15-19|1-15|1-28|28-30|16-30|11-16|11-26|6-26|6-21|1-21|1-18|18-20|20-32|22-32|1-22,1-31-17|13-17-31|2-13-17|8-2-13|2-8-27|1-27-8|1-14-3|4-3-14|3-4-24|4-24-29|7-29-24|1-7-29|1-25-23|10-23-25|12-10-23|5-12-10|9-5-12|5-9-19|9-19-15|1-15-19|1-28-30|16-30-28|11-16-30|16-11-26|6-26-11|21-6-26|1-21-6|1-18-20|18-20-32|20-32-22|1-22-32
Random,6362007409732968340,902.9112,1-15|15-29|12-29|5-12|5-24|3-24|3-4|4-7|1-7|1-31|13-31|2-13|2-17|17-27|16-27|16-30|1-30|1-22|22-32|20-32|18-20|14-18|8-14|1-8|1-25|19-25|9-19|9-10|10-23|11-23|11-26|6-26|6-21|1-21|1-28|1-28,1-15-29|12-29-15|5-12-29|12-5-24|3-24-5|4-3-24|3-4-7|1-7-4|1-31-13|2-13-31|13-2-17|2-17-27|16-27-17|27-16-30|1-30-16|1-22-32|20-32-22|18-20-32|14-18-20|8-14-18|1-8-14|1-25-19|9-19-25|10-9-19|9-10-23|10-23-11|23-11-26|6-26-11|21-6-26|1-21-6|1-28-1
Random,369879526394510182,885.9765,1-27|8-27|8-14|14-18|18-20|20-32|22-32|1-22|1-4|3-4|3-24|24-29|10-29|10-23|16-23|16-30|1-30|1-31|17-31|7-17|5-7|5-12|9-12|9-19|15-19|1-15|1-25|25-28|11-28|11-26|6-26|6-21|1-21|1-13|2-13|1-2,1-27-8|14-8-27|8-14-18|14-18-20|18-20-32|20-32-22|1-22-32|1-4-3|4-3-24|3-24-29|10-29-24|23-10-29|10-23-16|23-16-30|1-30-16|1-31-17|7-17-31|5-7-17|7-5-12|5-12-9|12-9-19|9-19-15|1-15-19|1-25-28|11-28-25|26-11-28|6-26-11|21-6-26|1-21-6|1-13-2|1-2-13
Random,4578204870628712186,905.2753,1-27|14-27|14-18|18-20|20-32|22-32|17-22|1-17|1-8|3-8|3-4|4-24|7-24|7-15|15-25|1-25|1-26|11-26|9-11|9-12|5-12|5-29|1-29|1-28|19-28|10-19|10-23|16-23|16-30|6-30|6-21|1-21|1-13|2-13|2-31|1-31,1-27-14|18-14-27|14-18-20|18-20-32|20-32-22|17-22-32|1-17-22|1-8-3|4-3-8|3-4-24|4-24-7|15-7-24|7-15-25|1-25-15|1-26-11|9-11-26|11-9-12|5-12-9|12-5-29|1-29-5|1-28-19|10-19-28|19-10-23|10-23-16|23-16-30|6-30-16|21-6-30|1-21-6|1-13-2|13-2-31|1-31-2
Random,17730742625060801173,866.2529,1-22|22-32|20-32|18-20|14-18|8-14|8-27|1-27|1-7|4-7|3-4|3-24|24-29|15-29|15-25|1-25|1-28|28-30|16-30|11-16|11-26|6-26|6-21|1-21|1-13|2-13|2-5|5-12|9-12|9-19|10-19|10-23|1-23|1-31|17-31|1-17,1-22-32|20-32-22|18-20-32|14-18-20|8-14-18|14-8-27|1-27-8|1-7-4|3-4-7|4-3-24|3-24-29|15-29-24|25-15-29|1-25-15|1-28-30|16-30-28|11-16-30|16-11-26|6-26-11|21-6-26|1-21-6|1-13-2|5-2-13|2-5-12|5-12-9|12-9-19|9-19-10|19-10-23|1-23-10|1-31-17|1-17-31
Random,13996102363368337268,803.3111,1-13|2-13|2-8|8-25|25-28|1-28|1-19|9-19|9-10|10-23|16-23|16-30|11-30|11-26|6-26|6-21|1-21|1-7|4-7|3-4|3-24|5-24|5-12|12-29|15-29|1-15|1-17|17-22|22-32|20-32|18-20|14-18|14-27|1-27|1-31|1-31,1-13-2|8-2-13|2-8-25|8-25-28|1-28-25|1-19-9|10-9-19|9-10-23|10-23-16|23-16-30|11-30-16|26-11-30|6-26-11|21-6-26|1-21-6|1-7-4|3-4-7|4-3-24|3-24-5|12-5-24|5-12-29|12-29-15|1-15-29|1-17-22|17-22-32|20-32-22|18-20-32|14-18-20|18-14-27|1-27-14|1-31-1
Random,10950839577748006069,961.9902,1-15|15-29|24-29|8-24|2-8|2-13|13-17|1-17|1-19|9-19|5-9|5-12|10-12|10-23|16-23|11-16|11-30|1-30|1-31|22-31|22-32|20-32|18-20|14-18|14-27|1-27|1-25|25-28|6-28|6-26|21-26|1-21|1-3|3-4|4-7|1-7,1-15-29|15-29-24|8-24-29|2-8-24|8-2-13|2-13-17|1-17-13|1-19-9|5-9-19|9-5-12|5-12-10|12-10-23|10-23-16|11-16-23|16-11-30|1-30-11|1-31-22|31-22-32|20-32-22|18-20-32|14-18-20|18-14-27|1-27-14|1-25-28|6-28-25|26-6-28|6-26-21|1-21-26|1-3-4|3-4-7|1-7-4
Random,238536661053097708,842.7266,1-31|27-31|27-29|5-29|5-12|9-12|9-19|10-19|10-23|1-23|1-28|28-30|16-30|11-16|11-26|6-26|6-21|1-21|1-8|3-8|3-4|4-24|7-24|7-15|15-25|1-25|1-2|2-22|22-32|20-32|18-20|14-18|1-14|1-17|13-17|1-13,1-31-27|29-27-31|5-29-27|12-5-29|5-12-9|12-9-19|9-19-10|19-10-23|1-23-10|1-28-30|16-30-28|11-16-30|16-11-26|6-26-11|21-6-26|1-21-6|1-8-3|4-3-8|3-4-24|4-24-7|15-7-24|7-15-25|1-25-15|1-2-22|2-22-32|20-32-22|18-20-32|14-18-20|1-14-18|1-17-13|1-13-17
Random,12304909114793090502,840.4264,1-28|28-30|16-30|11-16|11-26|6-26|6-21|1-21|1-7|7-29|5-29|5-12|9-12|9-19|10-19|10-23|1-23|1-25|15-25|15-24|4-24|3-4|3-8|8-27|27-31|1-31|1-14|14-18|18-20|20-32|22-32|2-22|1-2|1-17|13-17|1-13,1-28-30|16-30-28|11-16-30|16-11-26|6-26-11|21-6-26|1-21-6|1-7-29|5-29-7|12-5-29|5-12-9|12-9-19|9-19-10|19-10-23|1-23-10|1-25-15|24-15-25|4-24-15|3-4-24|4-3-8|3-8-27|8-27-31|1-31-27|1-14-18|14-18-20|18-20-32|20-32-22|2-22-32|1-2-22|1-17-13|1-13-17
Random,14710492185173397338,836.9208,1-27|14-27|3-14|3-29|5-29|5-12|9-12|9-19|15-19|1-15|1-21|6-21|6-26|11-26|11-16|10-16|10-23|23-30|1-30|1-7|7-24|4-24|4-18|18-20|20-32|22-32|1-22|1-31|17-31|8-17|2-8|2-13|1-13|1-28|25-28|1-25,1-27-14|3-14-27|14-3-29|3-29-5|12-5-29|5-12-9|12-9-19|9-19-15|1-15-19|1-21-6|21-6-26|6-26-11|16-11-26|10-16-11|16-10-23|10-23-30|1-30-23|1-7-24|4-24-7|18-4-24|4-18-20|18-20-32|20-32-22|1-22-32|1-31-17|8-17-31|2-8-17|8-2-13|1-13-2|1-28-25|1-25-28
Random,13855468511658400540,845.1043,1-6|6-26|11-26|11-19|9-19|9-29|24-29|3-24|3-4|4-15|1-15|1-7|5-7|5-12|10-12|10-23|16-23|16-30|21-30|1-21|1-13|2-13|2-8|8-17|17-31|1-31|1-14|14-18|18-20|20-32|22-32|22-27|1-27|1-28|25-28|1-25,1-6-26|6-26-11|19-11-26|9-19-11|19-9-29|9-29-24|3-24-29|4-3-24|3-4-15|1-15-4|1-7-5|7-5-12|5-12-10|12-10-23|10-23-16|23-16-30|16-30-21|1-21-30|1-13-2|8-2-13|2-8-17|8-17-31|1-31-17|1-14-18|14-18-20|18-20-32|20-32-22|27-22-32|1-27-22|1-28-25|1-25-28
Random,6524965636449191191,835.0131,1-17|17-22|22-32|20-32|18-20|14-18|14-27|1-27|1-15|15-23|10-23|10-19|9-19|9-12|5-12|5-29|24-29|7-24|1-7|1-28|28-30|16-30|11-16|11-26|6-26|6-21|1-21|1-31|13-31|2-13|2-8|3-8|3-4|1-4|1-25|1-25,1-17-22|17-22-32|20-32-22|18-20-32|14-18-20|18-14-27|1-27-14|1-15-23|10-23-15|19-10-23|9-19-10|12-9-19|5-12-9|12-5-29|5-29-24|7-24-29|1-7-24|1-28-30|16-30-28|11-16-30|16-11-26|6-26-11|21-6-26|1-21-6|1-31-13|2-13-31|8-2-13|2-8-3|4-3-8|1-4-3|1-25-1
Random,4623803631991055667,914.9163,1-25|23-25|10-23|10-12|5-12|5-24|7-24|7-27|1-27|1-21|6-21|6-26|11-26|11-16|16-30|28-30|1-28|1-13|2-13|2-8|8-17|17-31|1-31|1-20|18-20|3-18|3-4|4-29|9-29|9-19|15-19|1-15|1-22|22-32|14-32|1-14,1-25-23|10-23-25|12-10-23|5-12-10|12-5-24|5-24-7|24-7-27|1-27-7|1-21-6|21-6-26|6-26-11|16-11-26|11-16-30|16-30-28|1-28-30|1-13-2|8-2-13|2-8-17|8-17-31|1-31-17|1-20-18|3-18-20|4-3-18|3-4-29|4-29-9|19-9-29|9-19-15|1-15-19|1-22-32|14-32-22|1-14-32
Random,15004731625110711957,985.3107,1-26|11-26|11-19|12-19|5-12|5-29|24-29|4-24|4-27|1-27|1-23|10-23|9-10|3-9|3-18|18-20|20-32|1-32|1-21|6-21|6-30|16-30|7-16|7-15|15-25|25-28|1-28|1-31|8-31|8-14|14-22|2-22|2-13|1-13|1-17|1-17,1-26-11|19-11-26|11-19-12|5-12-19|12-5-29|5-29-24|4-24-29|24-4-27|1-27-4|1-23-10|9-10-23|3-9-10|9-3-18|3-18-20|18-20-32|1-32-20|1-21-6|21-6-30|6-30-16|7-16-30|15-7-16|7-15-25|15-25-28|1-28-25|1-31-8|14-8-31|8-14-22|2-22-14|13-2-22|1-13-2|1-17-1
Random,16387981524369982218,957.0008,1-25|15-25|15-19|9-19|9-29|12-29|10-12|10-23|23-30|11-30|6-11|1-6|1-13|2-13|2-8|8-14|7-14|1-7|1-26|16-26|5-16|5-24|3-24|3-4|1-4|1-27|18-27|18-20|20-32|22-32|17-22|17-31|1-31|1-28|21-28|1-21,1-25-15|19-15-25|9-19-15|19-9-29|9-29-12|10-12-29|12-10-23|10-23-30|11-30-23|6-11-30|1-6-11|1-13-2|8-2-13|2-8-14|7-14-8|1-7-14|1-26-16|5-16-26|16-5-24|3-24-5|4-3-24|1-4-3|1-27-18|20-18-27|18-20-32|20-32-22|17-22-32|22-17-31|1-31-17|1-28-21|1-21-28
Random,1128335665818801328,852.2539,1-28|28-30|16-30|11-16|11-26|6-26|6-21|1-21|1-25|23-25|10-23|10-12|5-12|5-9|9-19|15-19|1-15|1-2|2-22|22-32|20-32|18-20|14-18|1-14|1-7|7-29|24-29|4-24|3-4|3-8|8-27|1-27|1-13|13-17|17-31|1-31,1-28-30|16-30-28|11-16-30|16-11-26|6-26-11|21-6-26|1-21-6|1-25-23|10-23-25|12-10-23|5-12-10|9-5-12|5-9-19|9-19-15|1-15-19|1-2-22|2-22-32|20-32-22|18-20-32|14-18-20|1-14-18|1-7-29|7-29-24|4-24-29|3-4-24|4-3-8|3-8-27|1-27-8|1-13-17|13-17-31|1-31-17
Random,5398611078608603760,808.0811,1-14|14-18|18-20|20-32|22-32|1-22|1-13|2-13|2-8|8-17|17-27|27-31|1-31|1-7|4-7|3-4|3-24|5-24|5-12|12-29|15-29|1-15|1-21|6-21|6-26|11-26|11-30|16-30|16-23|10-23|9-10|9-19|1-19|1-28|25-28|1-25,1-14-18|14-18-20|18-20-32|20-32-22|1-22-32|1-13-2|8-2-13|2-8-17|8-17-27|17-27-31|1-31-27|1-7-4|3-4-7|4-3-24|3-24-5|12-5-24|5-12-29|12-29-15|1-15-29|1-21-6|21-6-26|6-26-11|26-11-30|11-30-16|23-16-30|10-23-16|9-10-23|10-9-19|1-19-9|1-28-25|1-25-28
Random,13129445758108507130,898.0517,1-21|6-21|6-26|11-26|11-30|16-30|16-23|10-23|9-10|9-19|1-19|1-29|12-29|5-12|5-24|14-24|8-14|8-27|1-27|1-2|2-22|22-32|20-32|18-20|18-31|1-31|1-28|25-28|15-25|4-15|3-4|3-7|1-7|1-13|13-17|1-17,1-21-6|21-6-26|6-26-11|26-11-30|11-30-16|23-16-30|10-23-16|9-10-23|10-9-19|1-19-9|1-29-12|5-12-29|12-5-24|5-24-14|8-14-24|14-8-27|1-27-8|1-2-22|2-22-32|20-32-22|18-20-32|20-18-31|1-31-18|1-28-25|15-25-28|4-15-25|3-4-15|4-3-7|1-7-3|1-13-17|1-17-13
Random,8438098515936759111,870.4562,1-6|6-26|11-26|11-16|10-16|10-28|1-28|1-25|15-25|15-27|8-27|2-8|2-13|1-13|1-14|14-22|22-32|20-32|18-20|4-18|4-7|1-7|1-21|21-30|23-30|19-23|9-19|9-12|5-12|5-29|24-29|3-24|1-3|1-17|17-31|1-31,1-6-26|6-26-11|16-11-26|10-16-11|16-10-28|1-28-10|1-25-15|25-15-27|8-27-15|2-8-27|8-2-13|1-13-2|1-14-22|14-22-32|20-32-22|18-20-32|4-18-20|7-4-18|1-7-4|1-21-30|21-30-23|19-23-30|9-19-23|12-9-19|5-12-9|12-5-29|5-29-24|3-24-29|1-3-24|1-17-31|1-31-17
Random,15649495601483444765,905.0893,1-28|28-30|16-30|11-16|11-26|6-26|6-21|1-21|1-14|14-20|18-20|18-24|5-24|5-12|1-12|1-15|15-23|10-23|10-19|9-19|9-29|3-29|3-4|4-7|7-27|27-31|1-31|1-17|8-17|8-32|22-32|2-22|2-13|1-13|1-25|1-25,1-28-30|16-30-28|11-16-30|16-11-26|6-26-11|21-6-26|1-21-6|1-14-20|14-20-18|20-18-24|5-24-18|12-5-24|1-12-5|1-15-23|10-23-15|19-10-23|9-19-10|19-9-29|3-29-9|4-3-29|3-4-7|4-7-27|7-27-31|1-31-27|1-17-8|17-8-32|8-32-22|2-22-32|13-2-22|1-13-2|1-25-1
Random,10911477260974200485,873.0276,1-27|8-27|8-14|14-18|18-20|20-32|22-32|1-22|1-15|9-15|9-12|5-12|5-29|24-29|3-24|3-4|1-4|1-25|25-28|11-28|11-26|6-26|6-21|1-21|1-31|17-31|7-17|7-19|10-19|10-23|16-23|16-30|1-30|1-13|2-13|1-2,1-27-8|14-8-27|8-14-18|14-18-20|18-20-32|20-32-22|1-22-32|1-15-9|12-9-15|5-12-9|12-5-29|5-29-24|3-24-29|4-3-24|1-4-3|1-25-28|11-28-25|26-11-28|6-26-11|21-6-26|1-21-6|1-31-17|7-17-31|17-7-19|7-19-10|19-10-23|10-23-16|23-16-30|1-30-16|1-13-2|1-2-13
Random,6996756340392000534,842.3526,1-27|18-27|18-20|20-32|22-32|2-22|2-31|1-31|1-25|25-28|28-30|11-30|11-26|6-26|6-21|1-21|1-16|16-23|10-23|10-19|9-19|9-12|5-12|5-29|15-29|1-15|1-7|7-24|4-24|3-4|3-14|8-14|8-17|1-17|1-13|1-13,1-27-18|20-18-27|18-20-32|20-32-22|2-22-32|22-2-31|1-31-2|1-25-28|25-28-30|11-30-28|26-11-30|6-26-11|21-6-26|1-21-6|1-16-23|10-23-16|19-10-23|9-19-10|12-9-19|5-12-9|12-5-29|5-29-15|1-15-29|1-7-24|4-24-7|3-4-24|4-3-14|3-14-8|14-8-17|1-17-8|1-13-1
Random,1799920800935451210,834.9049,1-19|9-19|9-12|5-12|5-29|24-29|3-24|3-4|1-4|1-10|10-23|16-23|16-30|11-30|11-26|6-26|6-21|1-21|1-13|2-13|2-7|7-15|15-25|25-28|1-28|1-27|8-27|8-14|14-18|18-20|20-32|22-32|1-22|1-17|17-31|1-31,1-19-9|12-9-19|5-12-9|12-5-29|5-29-24|3-24-29|4-3-24|1-4-3|1-10-23|10-23-16|23-16-30|11-30-16|26-11-30|6-26-11|21-6-26|1-21-6|1-13-2|7-2-13|2-7-15|7-15-25|15-25-28|1-28-25|1-27-8|14-8-27|8-14-18|14-18-20|18-20-32|20-32-22|1-22-32|1-17-31|1-31-17
Random,7136580582864335675,866.1628,1-7|7-24|4-24|3-4|3-18|18-20|20-32|1-32|1-25|19-25|10-19|9-10|9-12|5-12|5-29|15-29|1-15|1-13|2-13|2-22|14-22|8-14|8-27|1-27|1-28|28-30|23-30|16-23|11-16|11-26|6-26|6-21|1-21|1-31|17-31|1-17,1-7-24|4-24-7|3-4-24|4-3-18|3-18-20|18-20-32|1-32-20|1-25-19|10-19-25|9-10-19|10-9-12|5-12-9|12-5-29|5-29-15|1-15-29|1-13-2|13-2-22|2-22-14|8-14-22|14-8-27|1-27-8|1-28-30|23-30-28|16-23-30|11-16-23|16-11-26|6-26-11|21-6-26|1-21-6|1-31-17|1-17-31
